UNIT_CODE,All Types,Amphibian,Bird,Fish,Mammal,Reptile,Vascular Plant,Fungi,Insect,Invertebrate,Spider/Scorpion,Nonvascular Plant,Algae,Crab/Lobster/Shrimp,Slug/Snail
ACAD,1709,15.0,364,38.0,55,11.0,1226,,,,,,,,
ARCH,1048,8.0,205,11.0,59,20.0,745,,,,,,,,
BADL,1389,10.0,239,24.0,64,13.0,625,173.0,239.0,1.0,1.0,,,,
BIBE,2269,13.0,415,53.0,89,62.0,1589,,,,,48.0,,,
BISC,1726,8.0,233,818.0,28,40.0,554,,11.0,34.0,,,,,
BLCA,1106,2.0,175,16.0,67,11.0,835,,,,,,,,
BRCA,1286,4.0,217,1.0,76,13.0,975,,,,,,,,
CANY,1223,7.0,220,33.0,76,22.0,865,,,,,,,,
CARE,1566,6.0,248,15.0,73,21.0,1203,,,,,,,,
CAVE,1536,15.0,367,5.0,92,62.0,995,,,,,,,,
CHIS,1885,4.0,357,273.0,44,11.0,824,,2.0,196.0,1.0,68.0,61.0,11.0,33.0
CONG,2321,43.0,200,65.0,39,50.0,884,279.0,617.0,15.0,21.0,7.0,74.0,6.0,21.0
CRLA,3760,20.0,252,13.0,96,20.0,1628,192.0,994.0,68.0,17.0,193.0,218.0,40.0,9.0
CUVA,1941,24.0,246,85.0,47,23.0,1239,,227.0,25.0,2.0,,,8.0,15.0
DENA,1320,1.0,179,14.0,43,,841,29.0,51.0,3.0,,159.0,,,
DEVA,4439,71.0,531,9.0,212,90.0,2258,123.0,903.0,18.0,32.0,22.0,60.0,38.0,72.0
DRTO,848,,283,281.0,6,5.0,231,,,42.0,,,,,
EVER,2084,17.0,370,426.0,42,61.0,1168,,,,,,,,
GAAR,1353,1.0,134,17.0,39,,688,474.0,,,,,,,
GLAC,2556,6.0,277,27.0,69,4.0,1266,276.0,197.0,2.0,,404.0,2.0,6.0,20.0
GLBA,1957,5.0,258,359.0,58,3.0,822,2.0,35.0,117.0,3.0,98.0,64.0,96.0,37.0
GRBA,2653,22.0,330,21.0,103,58.0,1549,15.0,456.0,29.0,18.0,16.0,,6.0,30.0
GRCA,2622,15.0,456,29.0,106,76.0,1738,,57.0,1.0,142.0,,,,2.0
GRSA,952,6.0,240,6.0,68,8.0,622,,1.0,,,1.0,,,
GRSM,6623,61.0,272,107.0,94,51.0,2174,632.0,2414.0,84.0,104.0,528.0,,10.0,92.0
GRTE,2030,7.0,266,21.0,74,5.0,1463,28.0,154.0,5.0,1.0,,1.0,1.0,4.0
GUMO,1746,12.0,272,3.0,76,56.0,1069,66.0,115.0,7.0,2.0,5.0,,5.0,58.0
HALE,2580,3.0,44,6.0,15,10.0,1000,66.0,1061.0,37.0,46.0,227.0,,18.0,47.0
HAVO,3298,4.0,78,4.0,15,13.0,1212,7.0,1429.0,173.0,101.0,135.0,,56.0,71.0
HOSP,1950,27.0,387,90.0,52,52.0,1252,,15.0,22.0,,18.0,24.0,9.0,2.0
ISRO,1397,13.0,261,63.0,26,5.0,993,,,21.0,,1.0,,14.0,
JOTR,2294,5.0,301,1.0,67,52.0,1314,38.0,342.0,10.0,153.0,6.0,5.0,,
KATM,1225,1.0,222,44.0,54,,732,105.0,7.0,29.0,,20.0,,4.0,7.0
KEFJ,1057,1.0,235,42.0,55,,673,2.0,3.0,42.0,,,,,4.0
KOVA,1025,1.0,125,26.0,38,,476,333.0,,,,26.0,,,
LACL,2007,1.0,193,55.0,50,,1197,220.0,3.0,6.0,,281.0,,1.0,
LAVO,1797,17.0,245,20.0,100,22.0,1046,51.0,95.0,18.0,,160.0,2.0,15.0,6.0
MACA,2499,33.0,210,122.0,56,42.0,1708,,270.0,54.0,2.0,1.0,,1.0,
MEVE,1243,8.0,237,,86,21.0,891,,,,,,,,
MORA,1743,16.0,187,23.0,69,5.0,1008,31.0,47.0,,,357.0,,,
NOCA,3363,12.0,226,33.0,79,10.0,1478,539.0,559.0,,42.0,385.0,,,
OLYM,1948,16.0,310,97.0,80,6.0,1352,,87.0,,,,,,
PEFO,853,8.0,244,,62,21.0,516,1.0,,,,1.0,,,
PINN,1416,10.0,170,6.0,60,29.0,731,27.0,323.0,31.0,10.0,,,8.0,11.0
REDW,6310,33.0,501,247.0,154,39.0,2257,1363.0,744.0,334.0,7.0,251.0,111.0,122.0,147.0
ROMO,3152,5.0,277,12.0,74,3.0,1114,306.0,676.0,48.0,22.0,416.0,150.0,39.0,10.0
SAGU,1834,10.0,246,,102,62.0,1411,2.0,,,,,,1.0,
SEKI,1995,13.0,220,19.0,89,24.0,1630,,,,,,,,
SHEN,4655,40.0,268,41.0,63,38.0,2761,765.0,318.0,2.0,4.0,350.0,,3.0,2.0
THRO,1165,8.0,223,32.0,66,13.0,680,1.0,73.0,3.0,2.0,61.0,,1.0,2.0
VOYA,1453,15.0,238,58.0,63,6.0,1019,3.0,33.0,7.0,,11.0,,,
WICA,1395,7.0,235,8.0,89,12.0,871,43.0,105.0,,,,,,25.0
WRST,1796,2.0,211,93.0,62,1.0,1357,,58.0,4.0,,7.0,,,1.0
YELL,3966,9.0,330,19.0,78,9.0,1420,11.0,1628.0,78.0,43.0,15.0,204.0,63.0,59.0
YOSE,2088,15.0,270,10.0,88,22.0,1683,,,,,,,,
ZION,1796,7.0,301,15.0,80,30.0,1363,,,,,,,,
